Mthly_HH_Income,Mthly_HH_Expense,No_of_Fly_Members,Emi_or_Rent_Amt,Annual_HH_Income,Highest_Qualified_Member,No_of_Earning_Members
49330.831356233306,31294.066910494774,2,14843.46372801404,591969.9762747997,Illiterate,0
85977.45164215479,49243.82651409748,3,32453.732939719655,1031729.4197058575,Professional,3
29729.39149646677,34418.30338247992,7,16419.061394254055,356752.6979576013,Illiterate,2
122307.57730556556,37810.61915177968,4,31510.43741645721,1467690.9276667866,Graduate,2
20437.090115167914,72811.90208703114,1,30491.590274934726,245245.08138201496,Professional,0
148164.17112407243,31119.160026747526,5,28171.94636742294,1777970.0534888692,Graduate,3
118114.26770153204,43549.21168698581,9,19020.985211639883,1417371.2124183844,Professional,4
37820.19541478413,63773.97595558573,8,27424.98608257384,453842.3449774096,Graduate,3
10773.096397304336,34740.708674095265,9,29824.27374927108,129277.15676765204,Under-Graduate,0
124164.59998367679,51656.502517090514,10,27284.34442477367,1489975.1998041214,Graduate,4
108960.0281386664,69677.2781560059,9,22220.972637560077,1307520.3376639967,Under-Graduate,4
112061.00352573823,76214.04677432316,7,733.3528523131905,1344732.0423088586,Graduate,4
117977.8485360324,16030.511069677845,4,29353.085385057548,1415734.182432389,Professional,3
20366.25124277265,74494.07188711208,5,8422.219257135983,244395.01491327182,Professional,0
60185.201996198164,41908.72198096536,1,32128.79844735948,722222.423954378,Professional,0
26221.66833351816,24368.329122421877,1,37967.216396143296,314660.0200022179,Post-Graduate,0
130834.4796225831,39435.1817178696,3,25022.265456537072,1570013.7554709972,Illiterate,0
97261.7377558581,78502.44314641078,8,27118.183248986916,1167140.8530702973,Professional,4
56325.723479370885,41946.35704946522,2,47573.92798329956,675908.6817524506,Under-Graduate,1
18898.169040043307,29656.370771563117,4,42358.36806862871,226778.0284805197,Professional,0
53537.52504019271,52505.06407375443,2,45711.825797573496,642450.3004823126,Post-Graduate,0
55525.665083744585,23010.92140836448,5,40688.31441597932,666307.981004935,Under-Graduate,2
112144.86496732898,10689.749608149794,9,5445.917092336572,1345738.3796079478,Post-Graduate,1
99258.04598972984,14665.979143298691,1,7449.592798509735,1191096.5518767582,Under-Graduate,0
134209.78396068572,14603.437921832932,5,26331.18986344798,1610517.4075282286,Graduate,2
76110.0895226729,16392.702013422077,9,12303.482939899912,913321.0742720749,Illiterate,4
26743.194431362237,15412.03794870576,1,23834.773752057958,320918.33317634684,Illiterate,0
109854.27021121931,53065.60586024109,9,19718.26619091751,1318251.2425346316,Post-Graduate,4
116509.90680636565,18641.006329935863,8,27470.711921522667,1398118.8816763877,Illiterate,4
88578.80765972947,30925.04624928974,4,37343.78580679114,1062945.6919167535,Post-Graduate,0
117935.40519363854,72259.13074295089,10,35774.545354963724,1415224.8623236625,Post-Graduate,4
79131.3834910147,40547.12301971543,5,26061.706624266717,949576.6018921763,Post-Graduate,3
83182.59611347917,55066.83038907704,5,41119.670940852906,998191.1533617501,Illiterate,0
69855.74257019695,17923.99034012224,6,21543.104576901667,838268.9108423634,Post-Graduate,1
13558.677744173327,19421.67641065031,7,44835.71449200612,162704.1329300799,Illiterate,0
25104.799779062625,8065.146219985914,8,3564.0135027581955,301257.5973487515,Post-Graduate,1
14400.085996142796,17670.129730412344,8,47733.00150166537,172801.03195371357,Professional,1
99097.45757692926,25894.275427396897,2,32734.65407156741,1189169.4909231511,Post-Graduate,0
54009.83735068573,18275.78632075601,9,19003.725446860266,648118.0482082288,Under-Graduate,1
81199.8967630584,11652.69003177917,7,9857.706328643868,974398.7611567008,Post-Graduate,1
137059.30634965302,14047.69033254506,4,23959.161472179996,1644711.6761958362,Graduate,2
44900.91208084249,39558.407602454434,4,9727.916159265049,538810.94497011,Post-Graduate,0
67453.60922498816,20475.028880434438,8,8316.580387157108,809443.310699858,Under-Graduate,1
115777.15939602681,32320.23957860566,4,30867.58787064871,1389325.9127523217,Under-Graduate,3
42031.743168827146,42756.295314114264,6,26154.236229089234,504380.91802592576,Illiterate,0
20777.18737603102,56779.612147202395,5,33504.801730547086,249326.24851237223,Professional,1
50565.203407927525,7948.41048808242,3,46480.29387109946,606782.4408951303,Post-Graduate,1
32570.98021556062,64955.779918178196,10,26613.01066695201,390851.76258672745,Illiterate,1
140157.6713279602,52092.52921181808,2,29046.602663139885,1681892.0559355225,Professional,2
123136.85313901838,11131.927396165393,9,4481.316957747105,1477642.2376682204,Post-Graduate,4
98676.52591145929,70518.39680800829,10,35881.789295431474,1184118.3109375115,Graduate,3
132004.48262628049,74065.43003988599,9,19995.26034020781,1584053.7915153657,Post-Graduate,4
122514.09076587603,9580.846989114782,1,48836.261933128946,1470169.0891905124,Under-Graduate,1
36119.808244045016,25765.82361104028,10,41158.700779783016,433437.6989285402,Under-Graduate,2
134958.2597885969,65465.0959844796,3,26124.052025805915,1619499.1174631626,Graduate,3
85507.9138681911,61119.47677877438,8,6161.132708608302,1026094.9664182932,Illiterate,2
123041.62172296876,18839.0764517283,6,42970.78966402946,1476499.4606756251,Professional,4
135452.78198928904,20701.199250253274,5,39989.05477120108,1625433.3838714685,Post-Graduate,4
54520.48649606094,32785.40770935365,5,9229.25647685165,654245.8379527313,Under-Graduate,0
25407.269433874746,41339.2238893266,6,14763.914461015504,304887.2332064969,Illiterate,0
41910.922755871834,51369.107864772195,7,39670.362907391864,502931.073070462,Graduate,1
69795.09040767589,32668.52296773293,1,9261.422327370483,837541.0848921107,Under-Graduate,1
124522.06722914903,39690.10370998609,9,45887.62445856886,1494264.8067497883,Graduate,2
130502.28165588809,61060.32036003174,3,21226.371259818094,1566027.379870657,Post-Graduate,1
10973.298274366698,7751.240216794842,4,4351.948129382932,131679.5792924004,Professional,0
81504.6223608592,23932.770825801555,10,40787.432175214046,978055.4683303104,Under-Graduate,3
68437.54044082906,58501.21894134143,1,18675.48415191938,821250.4852899488,Under-Graduate,0
41095.09346590223,72140.51282653995,10,26324.95970768905,493141.1215908268,Post-Graduate,3
26781.15142671559,43375.80815867496,3,5615.217220560959,321373.8171205871,Illiterate,0
57266.123996507915,44908.51139489868,2,129.20074224911926,687193.487958095,Professional,1
142007.3585477527,13037.900850483204,2,31899.260289664882,1704088.3025730322,Under-Graduate,1
55248.41048290573,38555.927511759095,1,25758.75851668658,662980.9257948687,Professional,0
82630.68704407125,44946.29498412674,8,29676.92845615736,991568.244528855,Under-Graduate,2
108422.6542453249,23185.287772604726,3,39687.19251902582,1301071.8509438988,Professional,1
60908.144333101154,25193.242321203572,3,32330.295671143005,730897.7319972138,Graduate,0
146049.4915809345,33296.3122328467,6,8738.67214136886,1752593.898971214,Under-Graduate,4
144742.62129189557,6505.339833329477,8,18038.62595552999,1736911.4555027469,Professional,4
45249.52141555098,29155.937418738373,9,45294.55523938802,542994.2569866118,Illiterate,0
79614.79082493397,20858.600524740847,9,38497.235012583944,955377.4898992076,Graduate,2
52122.96337434775,29562.301413343597,4,27831.852896835862,625475.5604921731,Graduate,2
49877.66921284547,13982.159886443842,5,12782.249890463616,598532.0305541456,Illiterate,4
15164.172629634591,71789.54605549212,2,15103.025091739752,181970.0715556151,Professional,1
95339.00675718556,49519.43401655365,9,36597.90337928173,1144068.0810862267,Post-Graduate,3
80375.0632520406,55932.67393583672,8,42558.71304263854,964500.7590244873,Illiterate,3
17207.02517499851,64187.84289555037,3,33571.233476530724,206484.30209998213,Professional,1
49010.5049931256,42383.16491967929,9,40476.49878842209,588126.0599175072,Illiterate,1
137157.2240353315,11519.021606556777,3,38332.8067600203,1645886.6884239782,Illiterate,0
43538.66469337614,45282.990636391085,9,7485.198397847887,522463.97632051364,Under-Graduate,2
30285.282092771235,49013.083851565934,2,21197.2406456651,363423.38511325483,Professional,0
78523.38643885883,60907.96056382475,10,7649.190041428134,942280.637266306,Post-Graduate,3
147991.0635754841,37374.46596722596,9,11761.77924009924,1775892.762905809,Under-Graduate,0
43887.73801161006,14568.522709667282,8,43462.98123255263,526652.8561393208,Illiterate,1
104098.97663682299,26283.192934904335,9,23644.598281659106,1249187.719641876,Illiterate,2
116626.74614602046,32231.17222989763,5,26767.90509213304,1399520.9537522455,Illiterate,1
43269.256158935954,53443.79309987009,2,8922.298261388605,519231.07390723145,Professional,1
111950.28880566034,47808.372850168395,8,15613.589302439801,1343403.4656679241,Professional,4
61489.63858069545,31707.254442338468,6,11512.308421393496,737875.6629683455,Under-Graduate,0
98522.81628310113,78988.64365947348,8,10309.30822592132,1182273.7953972137,Post-Graduate,2
98694.15950652526,50433.111451766534,5,31898.039665798504,1184329.9140783031,Under-Graduate,4
85008.45577046619,22792.009380199586,10,12844.19238228574,1020101.4692455942,Graduate,4
22640.56780761716,12633.68544653028,2,31600.774301020923,271686.8136914059,Illiterate,0
126942.34938249331,16464.4354388249,6,2922.7307054276953,1523308.1925899198,Illiterate,1
54909.209096043014,23446.82962883811,5,7088.719676355093,658910.5091525161,Illiterate,2
36112.59145597959,17051.102994466673,5,13727.01270000627,433351.0974717551,Under-Graduate,4
15708.519817666947,18992.526803847933,1,29852.345844784584,188502.23781200335,Under-Graduate,1
92725.01204635385,26382.13765203853,2,33792.0622543688,1112700.1445562462,Illiterate,0
104859.01065791954,18003.019647106612,8,22135.848338976353,1258308.1278950344,Under-Graduate,4
12322.296049899862,72257.40684698189,3,22289.54572886145,147867.55259879836,Professional,0
81693.02816189933,11017.530924623166,10,36225.84256993091,980316.337942792,Professional,3
41709.40852771131,44338.3542177691,3,791.054588279122,500512.9023325357,Under-Graduate,0
100324.19065732298,35779.76202422461,8,17054.501223711028,1203890.2878878757,Illiterate,2
34411.300060698806,78678.39626814549,8,40935.35285596164,412935.6007283857,Under-Graduate,1
106731.28333434524,13402.917662603926,2,30160.970510668612,1280775.400012143,Under-Graduate,0
64142.94848207524,34839.16992843062,8,16861.35663777102,769715.3817849029,Under-Graduate,2
141142.19842314284,77710.28249565266,1,45276.23961648369,1693706.381077714,Graduate,0
29252.932180439057,69913.03444204852,6,38631.136372469125,351035.18616526865,Professional,0
57749.289147036194,66280.40532119598,8,13244.77236183667,692991.4697644343,Post-Graduate,2
25886.29297368247,24342.712028370486,3,32264.491876285843,310635.5156841896,Post-Graduate,0
139457.10655899878,17816.569054254935,8,29787.536409447835,1673485.2787079853,Graduate,4
132827.50947333733,55148.241494332324,1,20059.395701949135,1593930.113680048,Under-Graduate,1
46111.82788012178,74703.19918456893,9,18347.803960240035,553341.9345614614,Graduate,2
102397.76644478507,46757.216976044736,9,17178.023738785196,1228773.197337421,Graduate,4
124411.10802817022,47870.95171024249,5,30857.78916978234,1492933.2963380427,Illiterate,1
87728.11362392473,25998.432024521313,10,22120.496824033475,1052737.3634870967,Professional,2
84151.08096984091,62711.96998939527,4,41593.1556625711,1009812.9716380909,Post-Graduate,0
43859.32072606323,19028.281141814252,6,33480.13080669809,526311.8487127589,Under-Graduate,0
23034.38749282589,29275.942730318275,7,3496.5802854717067,276412.64991391066,Post-Graduate,1
135610.20611346574,36907.73289623126,5,32008.411191408304,1627322.473361589,Post-Graduate,4
136058.52800286625,43070.77840133413,10,13557.37182500924,1632702.336034395,Professional,4
98634.20401825751,23180.729931131016,9,29640.599582671133,1183610.4482190902,Post-Graduate,3
57464.1707468181,13612.761855440265,3,34006.59655517257,689570.0489618172,Post-Graduate,0
58889.34044577253,50796.50318312245,7,11541.459457700603,706672.0853492704,Graduate,4
111633.79504183351,26647.291493019184,10,22842.932244018433,1339605.540502002,Professional,4
135595.43639336078,48592.86660669592,10,9516.24314095339,1627145.2367203294,Illiterate,2
134192.09939711643,16577.203645565176,5,2616.9437893254153,1610305.192765397,Under-Graduate,2
119182.57642006734,41085.50763911131,7,18923.821174293455,1430190.9170408081,Post-Graduate,4
99884.43046160029,44944.20744136894,2,18147.2135922996,1198613.1655392034,Under-Graduate,0
21779.595099306836,8886.765261682018,4,49774.024535212855,261355.14119168202,Illiterate,0
32628.019973245926,30245.320864544043,2,22317.617559882106,391536.2396789511,Under-Graduate,1
135797.58639379108,15081.100770423069,7,16678.47747361002,1629571.036725493,Illiterate,4
94900.06835234258,9753.12278545758,2,29023.75033583373,1138800.820228111,Graduate,0
11287.58722632815,79247.0174292459,1,4438.369705388423,135451.04671593782,Post-Graduate,0
24206.016001244494,29176.538373104224,9,48083.28679774066,290472.1920149339,Illiterate,1
102890.24767512782,65740.58343909762,1,31748.002279551656,1234682.9721015338,Under-Graduate,0
10708.621738470616,24098.049107282288,8,37741.890997042385,128503.46086164739,Post-Graduate,3
32513.127198449813,56112.7041667947,2,8523.896908695877,390157.52638139774,Graduate,0
86822.73051132205,62017.08949172649,8,20473.892650260193,1041872.7661358647,Post-Graduate,4
106865.32767697706,49672.90554558832,3,21134.455669809475,1282383.9321237248,Illiterate,0
101274.57633036407,40368.21414126188,6,41090.32219505434,1215294.9159643687,Graduate,3
41397.70332447837,35888.06856104514,3,61.83398797047212,496772.4398937404,Under-Graduate,0
109705.09098865502,31165.11999072465,7,15042.655417662754,1316461.0918638604,Graduate,4
43214.87224955201,74714.68581858694,10,49061.818717215196,518578.4669946241,Graduate,2
55555.95774229748,67296.45558407968,9,23744.32717531093,666671.4929075697,Professional,4
114508.79671652339,77377.01829998844,2,19126.31401220041,1374105.5605982807,Graduate,1
100948.60586661006,14322.291761415854,5,5991.450100882317,1211383.2703993206,Graduate,4
128891.2774691849,59815.06064027332,6,48708.231431400774,1546695.329630219,Post-Graduate,4
102065.80492204808,75375.53426157784,4,1001.3177962912234,1224789.659064577,Under-Graduate,2
89563.20446696602,18592.479962424513,4,36859.01125036216,1074758.4536035922,Post-Graduate,1
23114.467495932946,9987.220052508312,4,38429.990239425424,277373.60995119537,Post-Graduate,2
61480.212428320694,60584.04869675443,2,12182.835803193331,737762.5491398483,Illiterate,0
47128.33147544156,48085.483488493395,4,33577.92218065186,565539.9777052987,Post-Graduate,2
44158.5500730717,68137.1582568704,1,4646.457218969496,529902.6008768604,Professional,1
146221.4776653424,15482.928246971713,6,12852.363321603993,1754657.7319841087,Professional,4
65033.68145334646,64645.04838949176,1,39395.09941461325,780404.1774401575,Illiterate,1
134886.51772479585,20122.04900358084,10,43234.309601677014,1618638.2126975502,Under-Graduate,4
98359.40763961681,17274.19571492784,6,30424.320632989566,1180312.8916754017,Under-Graduate,4
121273.58249583078,17319.93484482447,1,25341.92159102413,1455282.9899499693,Post-Graduate,1
80369.1930347269,66093.10401735366,6,7965.201030949015,964430.3164167227,Post-Graduate,2
90766.54384769028,54889.79155221501,10,3155.4516539575084,1089198.5261722833,Post-Graduate,4
78952.47713464094,44229.90685768395,8,5882.451423677931,947429.7256156913,Under-Graduate,2
37334.01829172623,31912.286309262687,2,11367.865004804939,448008.21950071474,Graduate,0
111143.29613661075,70790.04056098312,2,17083.725094846042,1333719.553639329,Professional,1
49308.13074171981,34433.383056697654,4,19045.47627554936,591697.5689006378,Graduate,1
13404.235300403538,66244.95796036828,3,17316.088429450178,160850.82360484244,Graduate,0
100366.1214270035,37935.11814276638,4,11952.76660986328,1204393.4571240419,Under-Graduate,2
34795.49511698685,33270.83220686807,7,25486.212337584908,417545.9414038422,Graduate,2
141664.201809408,39700.983925220484,1,41264.30541164484,1699970.4217128959,Illiterate,0
143550.00078036223,27603.340562310656,6,13985.176923573961,1722600.0093643467,Post-Graduate,4
138081.0146308628,61070.70351321883,3,47119.35095511166,1656972.1755703536,Illiterate,0
61822.21803576221,42704.02925693594,10,43666.83308619239,741866.6164291466,Professional,4
12163.92631404144,22415.9521360113,7,8088.210567605481,145967.1157684973,Post-Graduate,0
139964.59876228156,72468.09299559264,10,39313.79783785473,1679575.1851473786,Graduate,4
69945.78076442401,33791.841602990855,2,28729.36911588833,839349.3691730881,Professional,0
145331.67466611374,45766.46458354915,2,28328.76810857093,1743980.095993365,Post-Graduate,2
144906.79679249538,72985.40832234103,4,19552.138152908723,1738881.5615099445,Graduate,1
129421.32376543041,51817.849693549404,1,25057.649959100487,1553055.8851851649,Illiterate,1
51222.844889741995,13767.353053127305,3,19858.938871460552,614674.1386769039,Post-Graduate,0
63913.68200426954,75487.40927101063,9,26986.630937997143,766964.1840512345,Graduate,3
129159.13401235997,52078.10398035634,7,31397.50263863179,1549909.6081483196,Illiterate,0
54369.080721878876,30117.92109928146,7,33715.19032045242,652428.9686625465,Professional,4
33728.98453605294,15445.405449754044,4,26624.05962797131,404747.8144326353,Professional,0
87952.17674416902,64551.8891952722,2,36071.10336643658,1055426.1209300281,Professional,2
141061.66838250932,51505.45669463852,4,7063.90246377529,1692740.0205901118,Professional,4
107444.17153449621,45009.58189822411,6,10599.124545111927,1289330.0584139545,Under-Graduate,3
89808.5638125111,72041.94372882182,3,40936.750203713505,1077702.7657501332,Post-Graduate,1
23604.709127907598,64144.79084183981,1,16126.39889232076,283256.5095348912,Post-Graduate,0
96101.01173788376,16375.615979956337,8,1144.6912488060123,1153212.140854605,Under-Graduate,3
148607.53901459687,28379.155084666116,5,7689.557483401554,1783290.4681751626,Graduate,3
29611.762133113363,23636.68548608493,5,11180.721724815563,355341.14559736033,Graduate,0
82566.15133092314,60795.971942950775,4,47866.14439472936,990793.8159710777,Professional,0
132832.23006991376,7514.932605183454,6,28652.071446542464,1593986.760838965,Illiterate,3
113707.60648558862,47741.72636534874,3,46636.53702381274,1364491.2778270636,Graduate,2
107582.20373933752,62184.40143055179,9,28758.167524831246,1290986.4448720503,Illiterate,3
108347.7717581953,70757.42275713121,5,23967.72200689259,1300173.2610983436,Post-Graduate,2
60328.76117076573,30656.13115369306,3,15686.384559704802,723945.1340491887,Illiterate,2
51102.85819702907,66594.29785040097,1,30318.547221668778,613234.2983643488,Post-Graduate,0
123310.5617669919,13297.380271640543,10,6959.901230876492,1479726.7412039028,Under-Graduate,2
123415.87525508531,68483.92188008886,6,44913.0813646353,1480990.5030610238,Under-Graduate,0
131390.1246012145,14561.649674898681,2,41466.62025706418,1576681.495214574,Professional,2
137853.67735790598,34796.54679202754,3,15876.572393836852,1654244.1282948717,Graduate,0
81587.9358405313,64797.15243346652,1,47639.876380064714,979055.2300863755,Professional,1
80212.28125620795,16243.807051158034,9,41260.038370778406,962547.3750744953,Post-Graduate,4
121761.32505534853,22193.85464244811,8,33315.344291751986,1461135.9006641824,Professional,4
100994.95030888713,59168.94262947997,2,6088.095556263739,1211939.4037066456,Illiterate,1
108275.36281607847,59002.74024095558,8,23911.701152403613,1299304.3537929417,Post-Graduate,4
121410.97372105415,53086.072466397294,9,25305.377742337543,1456931.6846526498,Under-Graduate,3
134600.74785445927,57046.1333350325,1,11627.567918269006,1615208.9742535113,Graduate,0
57319.32195921501,45704.333251069715,5,3998.2697179650972,687831.8635105802,Post-Graduate,0
62581.61336959216,23884.929418021457,8,38836.18152358464,750979.3604351059,Post-Graduate,2
23157.471577721662,30927.19951279396,2,6101.752606219751,277889.65893265995,Illiterate,0
90959.21973946436,18619.828760106924,4,29714.537528088735,1091510.6368735724,Graduate,1
15031.918331543893,73133.79210002212,7,46822.45869418303,180383.01997852672,Under-Graduate,1
75183.72253854442,48754.38460745903,3,43805.259629902124,902204.670462533,Post-Graduate,1
85970.24885906072,35063.85625727299,5,13887.631187463057,1031642.9863087287,Post-Graduate,1
50115.775297959815,39650.43527330995,8,42572.431877563264,601389.3035755178,Illiterate,0
92716.6564796615,76046.25047088615,10,16.62530602447032,1112599.877755938,Professional,4
14270.03499146692,16501.355233706017,3,884.390480662861,171240.41989760305,Under-Graduate,0
15228.746424890018,48967.237401259794,4,30127.658192143248,182744.9570986802,Graduate,0
125164.07849235216,42941.65091633495,9,18239.910957226475,1501968.9419082259,Post-Graduate,4
60426.68979757681,50859.067657598585,7,19323.04205795736,725120.2775709217,Post-Graduate,4
27788.47177126387,6358.263786563039,1,28222.054533944123,333461.66125516646,Under-Graduate,0
83114.05640767262,70409.29317081136,4,9589.122779593028,997368.6768920714,Professional,2
117799.09743380552,74908.87118627093,4,10587.767533273918,1413589.1692056663,Post-Graduate,4
40214.94384955804,47384.98876919067,9,24230.079350943233,482579.3261946965,Under-Graduate,1
97204.66661466003,57248.81179076692,6,37712.67721719315,1166455.9993759203,Illiterate,1
21948.64509912752,74187.45358829718,9,30974.887570379382,263383.74118953024,Professional,0
17235.440963605077,58042.897573504895,6,14867.752411841944,206825.29156326092,Graduate,0
84389.64841954072,16440.4282185696,6,21516.85887544606,1012675.7810344887,Post-Graduate,0
85688.9170254149,48221.62701251099,5,8533.23792749992,1028267.0043049789,Under-Graduate,3
99240.18620974892,50503.62847871419,5,3731.490716854086,1190882.234516987,Illiterate,0
111652.78672117261,36809.80034767895,2,39134.80203720746,1339833.4406540713,Graduate,0
146619.29112475485,60233.31767185421,8,13269.370459409729,1759431.4934970583,Under-Graduate,3
82282.04876216734,75077.52610767611,8,8888.319392562411,987384.5851460081,Under-Graduate,1
55213.90621177443,74417.63846800823,1,34580.90277846596,662566.8745412931,Graduate,0
121326.06726761852,38812.95285530991,8,30902.583714359298,1455912.8072114224,Illiterate,2
47916.51517669039,13492.853438056643,5,31659.481300673204,574998.1821202846,Illiterate,0
71455.99889878905,78863.08992217509,2,11444.730242330681,857471.9867854686,Professional,0
20983.893387917233,67917.35648344507,2,11632.27692813405,251806.7206550068,Post-Graduate,0
13549.104078164051,14349.701090245013,6,11040.131489281957,162589.24893796863,Graduate,1
144770.77805490952,74063.14119630292,9,8687.629783114726,1737249.336658914,Graduate,4
127037.21687170882,70242.22715465963,1,32786.183628082814,1524446.602460506,Graduate,0
107436.38885311772,43912.85428445541,6,42400.79426247007,1289236.6662374127,Illiterate,3
67253.41221799779,49345.65768086969,9,36215.873483833064,807040.9466159735,Post-Graduate,2
34261.20480991841,34925.20279025977,8,39604.68168802716,411134.4577190209,Professional,0
31901.185973952048,9107.12291165235,6,20239.92145425999,382814.2316874246,Under-Graduate,1
45034.005743043344,30139.79312344257,3,32703.789768599905,540408.0689165201,Under-Graduate,0
86891.73305885687,65214.00864485086,8,17711.812022238726,1042700.7967062825,Graduate,4
110043.42917800872,5347.401725345215,9,26275.231098432,1320521.1501361048,Post-Graduate,4
102427.63274048238,30012.437876835815,1,24081.742326743115,1229131.5928857885,Illiterate,0
49190.745572431995,34862.65201932075,9,8844.35725719272,590288.9468691839,Post-Graduate,4
